Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
Marketing,Professional Sales,Advertising Sales Agents,3.54,4.73,6.71,1.47,1.06,2.89,0.138642157,0.150191176,0.220651961,0.015264706,-0.111612745,0,29.83,1.43,13.28,3.6,51.85,0,0,0,0,0,0
Marketing,Marketing Management,Advertising and Promotions Managers,3.85,4.3,7,1.71,1.07,3.14,0.150261035,0.145206455,0.223303275,0.01595159,-0.110953963,6.16,9.82,0,7.67,8.04,60.02,2.42,5.87,0,0,0,0
Manufacturing,Manufacturing Production Process Development,Aerospace Engineering and Operations Technologists and Technicians,1,5.21,1.41,5.08,6.45,1,0.107305211,0.129101737,0.090585608,0.023548387,-0.101334988,0,19.69,39.23,0,33.16,7.92,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Aerospace Engineers,2.45,4.63,2.58,6.14,5.37,1.28,0.146587973,0.120155902,0.111069042,0.020663697,-0.098387528,0,0,0,0,7.61,59.05,0,33.34,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,"Agents and Business Managers of Artists, Performers, and Athletes",3.52,3.9,6.35,1.65,1,4.01,0.153499755,0.143700441,0.226886931,0.025898189,-0.111223691,1.34,37.97,0,2.56,0,41.33,0,16.8,0,0,0,0
"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems",Agricultural Engineers,2.2,3.93,2.59,6.28,6.17,1.72,0.150091743,0.116339013,0.113005679,0.023394495,-0.100152905,0,0,0,0,5,75,0,10,0,0,10,0
"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems",Agricultural Equipment Operators,1,3.67,1.35,2.5,7,1,0.099745763,0.121640436,0.098190073,0.021828087,-0.101301453,56.78,19.13,14.41,9.53,0.14,0,0,0,0,0,0,0
Government & Public Administration,Regulation,Agricultural Inspectors,1,5.15,3.13,4.06,5.33,1.9,0.103033544,0.141545941,0.13268352,0.023407876,-0.109708313,7,56.17,0,12.48,12.23,10.33,0,0,0,1.79,0,0
Education & Training,Teaching/Training,"Agricultural Sciences Teachers, Postsecondary",2.87,3.41,2.63,5.37,4.07,6.2,0.17296945,0.116570265,0.159376782,0.054040733,-0.100663951,0,0,0,0,1.4,1.41,0,14.04,0.84,0,55.31,27
"Agriculture, Food & Natural Resources",Food Products and Processing Systems,Agricultural Technicians,1,4.64,1.8,4.96,6.28,1.56,0.11458498,0.128201581,0.103893281,0.026245059,-0.103616601,3.19,41.34,0,5.47,13.19,18.19,5.96,5.47,0,0,7.2,0
"Transportation, Distribution & Logistics","Transportation Systems/Infrastructure Planning, Management and Regulation",Air Traffic Controllers,1,4.84,4.21,2.53,4.74,2.64,0.095976954,0.149744489,0.165691383,0.024318637,-0.115616232,1.36,36.14,20.79,5.63,14.13,20.12,1.82,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Aircraft Cargo Handling Supervisors,1,4.79,5.37,2.19,4.6,2.47,0.092404505,0.155195886,0.181699314,0.017571009,-0.120210578,10.19,64.06,2.55,4.74,0,18.46,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Aircraft Mechanics and Service Technicians,1,4.68,1.83,3.74,6.85,1.3,0.101654639,0.129262887,0.104324742,0.023195876,-0.10364433,0,12.37,60.33,0,24.8,2.5,0,0,0,0,0,0
Manufacturing,Production,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1.74,3.75,1.35,2.65,7,1,0.116420812,0.114694111,0.098021727,0.021435106,-0.096152087,3.23,54.84,15.66,0.64,9.98,15.65,0,0,0,0,0,0
"Transportation, Distribution & Logistics","Transportation Systems/Infrastructure Planning, Management and Regulation",Airfield Operations Specialists,1,5.03,4.48,3.51,4.73,2.49,0.101892655,0.148954802,0.160809793,0.022269303,-0.115677966,0,33.83,0,14.7,0.61,50.86,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,"Airline Pilots, Copilots, and Flight Engineers",1.43,4.69,3.79,3.17,4.74,2.49,0.110856721,0.141585426,0.154751354,0.02487937,-0.110797637,8,18.17,5.08,1.45,6.29,61.02,0,0,0,0,0,0
Health Science,Therapeutic Services,Allergists and Immunologists,1.68,3.54,2.23,6.92,4.09,5.1,0.163476231,0.121549236,0.141532258,0.050271647,-0.104291171,0,6.92,0,3.53,2.36,0,0,12.76,0,0,21.48,52.95
"Transportation, Distribution & Logistics",Transportation Operations,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1,3.59,1.54,2.53,6.38,4.63,0.118057956,0.125190646,0.14209456,0.052328419,-0.105653279,1.01,56.27,19.58,23.13,0,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Amusement and Recreation Attendants,1.74,4.6,3.95,1,4.16,4.38,0.107397882,0.145365608,0.188255169,0.039470499,-0.111815431,64.17,31.89,0,0,2.51,1.43,0,0,0,0,0,0
Health Science,Therapeutic Services,Anesthesiologist Assistants,1,4.76,1.87,4.71,4.55,5,0.125970763,0.134481498,0.143024212,0.052932846,-0.106774783,0,21.8,16.81,0,4.08,0,0,41.68,1.11,14.51,0,0
Health Science,Therapeutic Services,Anesthesiologists,1.13,3.95,2.48,5.77,5.13,5.22,0.141423142,0.128108108,0.145844595,0.049510135,-0.108108108,0,0,0,0,0,0,0,1.26,0,4.85,24.71,69.18
"Agriculture, Food & Natural Resources",Animal Systems,Animal Breeders,1.43,3.58,2.07,3.24,6.47,2.35,0.122789969,0.121677116,0.124184953,0.030574713,-0.103223615,0,85.74,5.74,4.46,0,3.43,0.63,0,0,0,0,0
"Agriculture, Food & Natural Resources",Animal Systems,Animal Caretakers,1.63,3.24,1.52,2.76,6.17,3.75,0.133282643,0.116974305,0.133917147,0.045312008,-0.100849502,9.5,63.55,0,0,13.58,13.37,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Animal Control Workers,1,3.85,2.11,3.58,5.93,2.59,0.116227702,0.128578174,0.12752361,0.03339979,-0.1063851,0,60.45,29.57,0,9.98,0,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Animal Systems,Animal Scientists,2.05,3.34,2.22,6.95,5.25,2.06,0.163411065,0.11347508,0.112482853,0.02824417,-0.099771376,0,0,4.35,0,4.35,13.04,0,21.74,0,0,43.48,13.04
Hospitality & Tourism,"Recreation, Amusements & Attractions",Animal Trainers,1.77,3.01,2.15,2.25,6.45,3.6,0.132189288,0.117472699,0.143447738,0.040223609,-0.10276131,22.64,44.38,7.85,16.56,6.82,1.75,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Anthropologists and Archeologists,3.89,3.54,1.56,6.74,4.55,3.32,0.190686441,0.101288136,0.117122881,0.038745763,-0.088983051,0,0,0,5,5,20,0,30,0,0,40,0
Education & Training,Teaching/Training,"Anthropology and Archeology Teachers, Postsecondary",3.52,3.47,2.39,6.02,3.61,6.55,0.185520344,0.112022692,0.156502347,0.056071987,-0.097014867,0,0,0,0,0,0,0,4.25,0,0,95.75,0
"Law, Public Safety, Corrections & Security",Legal Services,"Arbitrators, Mediators, and Conciliators",2.31,4.32,4.97,3.87,1,4.24,0.147276678,0.146180589,0.198353452,0.03556253,-0.112308064,5.26,0,0,0,5.26,15.79,10.53,10.53,10.53,36.84,5.26,0
Architecture & Construction,Design/Pre-Construction,"Architects, Except Landscape and Naval",4.55,4.12,3.45,4.18,5.21,2.51,0.170915903,0.109437968,0.139737719,0.024229808,-0.092285595,0,0,0,0,4.76,42.86,4.76,23.81,0,23.81,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Architectural and Engineering Managers,2.66,4.58,6.38,4.46,3.17,2.84,0.140689083,0.141473641,0.183304276,0.017538398,-0.11294313,0,0,0,0,1.15,45.52,1.15,27.04,11.85,12.15,1.15,0
Education & Training,Teaching/Training,"Architecture Teachers, Postsecondary",4.43,3.33,2.51,5.13,3.38,6.71,0.194888191,0.107249902,0.162887407,0.056143586,-0.093271871,0,0,0,0,9.32,14.38,1.17,10.2,0,20.29,44.63,0
Education & Training,Professional Support Services,Archivists,2.95,6.02,1.92,4.58,2.78,3.1,0.141470726,0.130665105,0.131283372,0.038871194,-0.094416862,0,0,0,0,0,6.45,3.23,83.87,6.45,0,0,0
Education & Training,Teaching/Training,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.84,2.98,2.99,5.26,2.98,7,0.192642715,0.111888224,0.173001996,0.057329341,-0.097936128,0,0.17,0,0,0,0,0,30.98,3.24,1.12,60.52,3.97
"Arts, Audio/Video Technology & Communications",Visual Arts,Art Directors,7,3.82,5.31,2.7,3.02,2.8,0.200701826,0.105135903,0.17535497,0.018503043,-0.08758215,0,9.69,0,5.7,5.37,68.02,3.52,7.69,0,0,0,0
Health Science,Therapeutic Services,Art Therapists,5.81,2.49,2.33,3.37,2.98,5.86,0.219789842,0.092745184,0.167710158,0.053152364,-0.083787215,0,0,0,0,0,0,0,90.62,6.25,0,0,3.12
Education & Training,Teaching/Training,"Art, Drama, and Music Teachers, Postsecondary",5.86,2.43,2.12,4.1,3.2,6.93,0.221469156,0.092321429,0.166700487,0.059042208,-0.084829545,0,0,0,0,1.44,13.89,0.7,50.68,1.61,0,31.67,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Astronomers,3.24,3.97,1.99,7,4.85,2.81,0.175167645,0.10909891,0.115884325,0.03372171,-0.093566639,0,0,0,0,0,0,0,8.7,0,0,65.22,26.09
Hospitality & Tourism,"Recreation, Amusements & Attractions",Athletes and Sports Competitors,2.22,2.88,4.51,1.58,5,4.38,0.137544968,0.129450656,0.191001458,0.035123967,-0.11104035,34.8,23.33,5.46,3.25,8.7,24.46,0,0,0,0,0,0
Health Science,Therapeutic Services,Athletic Trainers,1.09,3.32,2.27,4.39,5.54,5.7,0.139744509,0.125450471,0.154034065,0.054760197,-0.108404303,0,8.28,0,0,0,37.39,0,54.33,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Atmospheric and Space Scientists,2.72,4.48,2.69,6.35,4.82,2.45,0.156699277,0.119234368,0.123492131,0.028817524,-0.098498511,0,0,0,0,0,60,0,20,0,0,15,5
Education & Training,Teaching/Training,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.13,3.84,2.32,5.55,3.94,6.59,0.173831297,0.116117462,0.156472211,0.056842728,-0.098620418,0,0,0,0,0,0,5.07,46.48,3.3,0,28.9,16.25
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,Audio and Video Technicians,3.25,4.58,1.88,2.75,5.17,1.98,0.142029577,0.115395207,0.12227435,0.027980622,-0.090759816,0,25.07,19.87,1.19,11.19,42.67,0,0,0,0,0,0
Health Science,Therapeutic Services,Audiologists,2.13,4.16,1.61,6.03,4.09,5.76,0.160626577,0.120500421,0.141181665,0.056753574,-0.100189235,0,0,0,0,0,0,0,0,0,0,95.45,4.55
Manufacturing,"Maintenance, Installation & Repair",Audiovisual Equipment Installers and Repairers,1.55,4.76,1.12,2.72,6.79,1.6,0.104099245,0.123354908,0.100307443,0.028770227,-0.097130529,12.18,38.35,2.27,27.55,14.43,5.23,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Automotive Body and Related Repairers,1.44,3.43,1.38,1.78,7,1,0.105208983,0.116612601,0.102432938,0.020842171,-0.098215845,23.35,41.99,34.65,0,0,0,0,0,0,0,0,0
Manufacturing,Manufacturing Production Process Development,Automotive Engineering Technicians,1.39,4.63,1.32,5.33,7,1,0.121872279,0.119888728,0.08777939,0.023236575,-0.09864538,0,3.7,14.81,3.7,37.04,29.63,0,11.11,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Automotive Engineers,2.44,4.11,2.04,5.7,6.48,1.29,0.147878513,0.112810517,0.102615594,0.022021759,-0.096219402,0,0,4.76,0,0,71.43,0,14.29,4.76,0,4.76,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Automotive Glass Installers and Repairers,1,3.74,1.4,2.21,7,1.25,0.097042169,0.123156627,0.103433735,0.023975904,-0.10186747,9.12,89.5,1.37,0,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Automotive Service Technicians and Mechanics,1,4.33,1.59,3.57,7,1.44,0.10459588,0.125768621,0.102577919,0.025319599,-0.10274168,0,42.6,50.25,5.78,1.37,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Automotive and Watercraft Service Attendants,1,4.38,2.15,1.32,6.4,1.97,0.084065041,0.135940767,0.130557491,0.027224158,-0.10655633,16.3,58.62,22.65,2.43,0,0,0,0,0,0,0,0
Government & Public Administration,Governance,Aviation Inspectors,1,5.73,2.59,4.09,5.57,1.43,0.095311122,0.141901029,0.118525233,0.022082313,-0.106942675,0,29.17,19.72,13.53,33.65,3.93,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Avionics Technicians,1.24,4.69,1,4.16,7,1.34,0.110586722,0.121930005,0.089644879,0.027406073,-0.098353062,0,18.2,49.95,12.21,16.31,3.33,0,0,0,0,0,0
Hospitality & Tourism,Lodging,Baggage Porters and Bellhops,1,4.77,2.67,1,4.87,3.56,0.086267487,0.146815893,0.163105764,0.040363738,-0.110716284,41.75,41.28,7.51,9.47,0,0,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Security & Protective Services,Bailiffs,1,4.88,3.83,2.13,5.04,3.01,0.093484163,0.148235294,0.16436903,0.028883861,-0.114323781,5.94,39.86,20.84,0,33.35,0,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Bakers,2.23,4.42,2.1,1.67,6.37,1.75,0.112346278,0.122934196,0.124449838,0.024498382,-0.097648328,24.97,57.5,8.06,9.47,0,0,0,0,0,0,0,0
Human Services,Personal Care Services,Barbers,2.72,3.9,3.62,1,5.36,3.61,0.12850569,0.127159822,0.171147947,0.032671945,-0.103542801,20.94,24.55,28.7,11.74,11.13,1.68,0,1.25,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Baristas,2.6,4.28,3.48,1,5.08,3.74,0.123260654,0.130693756,0.170852329,0.034796829,-0.103766105,57.13,28.76,0,8.64,0,5.47,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Bartenders,2.39,4.39,3.79,1,4.98,3.53,0.117255976,0.134925299,0.173879482,0.031912351,-0.10622012,36.98,42.96,2.57,16.37,0,1.12,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Bicycle Repairers,1.15,3.61,1.85,1.76,7,1.74,0.099637639,0.124289889,0.119579193,0.025932203,-0.103699591,50.81,29.96,1.57,17.66,0,0,0,0,0,0,0,0
Finance,Banking Services,Bill and Account Collectors,1,7,4.38,1,2.04,3.24,0.062325831,0.177792069,0.191950697,0.031050375,-0.118167203,2.3,48.15,1.06,27.37,0,21.12,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Sales and Service,Billing and Posting Clerks,1,7,2.75,1.68,2.69,1.49,0.055761589,0.170872968,0.145538832,0.023353402,-0.109470199,0,20.7,16.61,51.49,9.24,1.96,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Biochemists and Biophysicists,2.61,3.61,1.82,7,5.1,2.16,0.170309417,0.109426009,0.107878924,0.030421525,-0.095237668,0,0,0,0,0,25,0,0,0,10,25,40
Health Science,Biotechnology Research and Development; Engineering and Technology,Bioengineers and Biomedical Engineers,2.3,3.78,1.58,7,5.57,2.91,0.163738116,0.111313742,0.109684529,0.036490925,-0.09673293,0,0,0,0,4.35,43.48,0,26.09,0,0,13.04,13.04
Manufacturing,Production,Biofuels Processing Technicians,1,5.33,2.13,3.28,5.87,1,0.089382053,0.139022031,0.11031166,0.019768941,-0.104927458,1.85,71.18,18.07,3.21,5.69,0,0,0,0,0,0,0
Business Management & Administration,Operations Management,Biofuels Production Managers,1,5.06,5.41,3.74,4.59,1.83,0.100434582,0.152612113,0.166250578,0.013356449,-0.118654646,0,14,0,19.13,14.83,45.44,6.6,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Biofuels/Biodiesel Technology and Product Development Managers,2.11,3.51,4.7,5.84,4.16,2.1,0.152395183,0.129161463,0.153099911,0.018429973,-0.109446922,0,1.33,4.77,0,5.82,55.44,1.24,28.62,0,0,1.33,1.43
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Bioinformatics Scientists,2.56,5.03,1.27,7,3.74,1.63,0.15820537,0.11835139,0.097484691,0.030367405,-0.092449364,0,0,0,0,0,33.61,0,16.32,3.85,0,13.88,32.34
Government & Public Administration,Planning,Bioinformatics Technicians,1.58,6.04,1,6.42,3.81,1.69,0.12694742,0.132190847,0.094250243,0.033047712,-0.096796495,0,0,0,0,0,50.89,2.45,40.66,0,0,4.11,1.89
Education & Training,Teaching/Training,"Biological Science Teachers, Postsecondary",3.31,3.61,2.03,5.91,3.99,6.22,0.180702034,0.111822896,0.149593139,0.055775828,-0.096406063,0,0,0,0,1.27,0.2,0,11.73,0,0,48.44,38.37
"Agriculture, Food & Natural Resources",Plant Systems,Biological Technicians,1.24,5.37,1.18,5.57,5.6,1.98,0.119126074,0.128500478,0.098123209,0.03296084,-0.099856734,0,1.43,0.93,1.43,0,48.84,14.28,29.36,0,0,2.75,0.98
Health Science,Therapeutic Services,Biologists,2.32,4.5,2.93,6.97,4.15,2.56,0.155881349,0.123952198,0.127409304,0.029453692,-0.101557832,0,0,0,0,0,32.2,10.49,56.93,0,0,0.38,0
Manufacturing,Production,Biomass Plant Technicians,1,4.82,1.75,3.12,6.97,1.22,0.09376589,0.130683263,0.104009534,0.022627119,-0.103278602,6.56,46.51,21.85,9.54,5.82,9.72,0,0,0,0,0,0
Business Management & Administration,Operations Management,Biomass Power Plant Managers,1,5.34,4.86,3.19,5.12,1.72,0.092303344,0.151827602,0.158431465,0.014305228,-0.11657089,0,6.83,13.23,1.75,16.7,61.49,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Biostatisticians,2.65,4.73,1.86,7,2.58,2.67,0.167184737,0.121772918,0.11974872,0.036356445,-0.095476966,0,0,0,0,0,12.5,0,58.33,0,0,29.17,0
Architecture & Construction,Maintenance/Operations,Boilermakers,1,3.66,1,2.27,7,1,0.097489014,0.119855618,0.092335217,0.023722536,-0.099372254,38.7,22.14,37.66,1.5,0,0,0,0,0,0,0,0
Business Management & Administration,Administrative Support,"Bookkeeping, Accounting, and Auditing Clerks",1,7,2.89,2.17,1.65,1.47,0.061124845,0.175383189,0.150908529,0.023399258,-0.110475896,6.35,40.89,20.79,4.72,8.54,12.19,0,6.52,0,0,0,0
Architecture & Construction,Construction,Brickmasons and Blockmasons,1.64,3.95,1.24,2.06,6.84,1.16,0.107087034,0.118016578,0.100639432,0.023605684,-0.096329189,13.48,70.42,0,13.38,2.71,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Bridge and Lock Tenders,1,4.36,2.63,2.46,6.18,1.74,0.09531301,0.13602613,0.130511704,0.02302123,-0.108247142,15,65,20,0,0,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,Broadcast Announcers and Radio Disc Jockeys,5.55,3.15,4.48,1.98,1.72,3.5,0.200083415,0.110363101,0.191977429,0.028361138,-0.090539745,9.45,6.77,0.68,10.14,10.1,55.04,0,7.82,0,0,0,0
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,Broadcast Technicians,2.79,4.98,2.44,3.1,4.94,2.14,0.131476214,0.124830799,0.130441393,0.027243747,-0.09644924,0,17.42,10.2,26.62,43.37,2.39,0,0,0,0,0,0
Finance,Securities & Investments,Brokerage Clerks,1,6.97,4.51,1.26,2.08,2.32,0.059492834,0.178902977,0.185055127,0.022205072,-0.118318633,0,29.13,0,19.95,12.69,38.23,0,0,0,0,0,0
Business Management & Administration,General Management,Brownfield Redevelopment Specialists and Site Managers,1.46,4.69,4.54,4.31,4.49,2.03,0.118271375,0.14239777,0.154990706,0.018466543,-0.112732342,0,0,0,0,0,77.27,9.09,9.09,4.55,0,0,0
Finance,Business Finance,Budget Analysts,1.53,6.92,4.76,3.81,1,2.2,0.097250247,0.168130564,0.173580613,0.021364985,-0.114282888,0,12.57,0,2.37,0,77.48,0,7.59,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,"Bus Drivers, Transit and Intercity",1,4.43,2.85,1,5.89,3.66,0.090058417,0.141402018,0.161078067,0.038645778,-0.111136484,13.01,83.83,1.66,1.49,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Bus and Truck Mechanics and Diesel Engine Specialists,1,3.73,1.3,3.28,7,1.53,0.109630045,0.120661435,0.100566143,0.027466368,-0.101547085,1,36.89,39.49,21.94,0.67,0,0,0,0,0,0,0
Business Management & Administration,Operations Management,Business Continuity Planners,1.65,5.1,5.31,4.41,2.04,3.06,0.124631433,0.152906815,0.182155772,0.024659249,-0.11581363,0,0,4.55,9.09,9.09,68.18,0,0,0,9.09,0,0
Information Technology,Information Support and Services,Business Intelligence Analysts,1.95,5.61,4.46,5.46,1.12,1.88,0.131635742,0.151386719,0.160317383,0.019912109,-0.110009766,0,0,0,0,4.55,68.18,4.55,22.73,0,0,0,0
Education & Training,Teaching/Training,"Business Teachers, Postsecondary",3.2,3.77,3.81,4.84,1.99,6.43,0.174721298,0.126102329,0.184434276,0.052628952,-0.103639767,0,0,0,0,0,5.39,0.6,20.39,0.34,0.52,72.77,0
Manufacturing,Production,Butchers and Meat Cutters,1.77,3.82,2.76,1.44,6.3,1.84,0.107897379,0.127356386,0.13929169,0.02202454,-0.104060234,20.36,69.93,2.44,7.27,0,0,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Agribusiness Systems,"Buyers and Purchasing Agents, Farm Products",1.03,4.86,4.86,1.8,4.68,1.7,0.084447966,0.15548336,0.172366614,0.012662441,-0.118372953,0,7.6,0,7.28,8.29,76.83,0,0,0,0,0,0
Manufacturing,Production,Cabinetmakers and Bench Carpenters,2.43,3.56,1.21,2.07,7,1.14,0.128655945,0.106789202,0.100155083,0.022693854,-0.090815623,11.36,62.02,26.62,0,0,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"Camera Operators, Television, Video, and Film",5.25,3.5,2.34,1.97,4.77,1.84,0.18446365,0.095460092,0.134072191,0.022882562,-0.080549059,0,17.82,0,14.58,60.7,6.9,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Camera and Photographic Equipment Repairers,1.97,4.58,1,2.67,7,1.2,0.112236699,0.116872964,0.093659066,0.025255157,-0.093355049,13.33,32.31,28.48,10.8,7.99,7.08,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,"Captains, Mates, and Pilots of Water Vessels",1,4.56,4.23,2.64,5.61,1.88,0.09559739,0.145346386,0.155396586,0.017228916,-0.1149749,4.46,41.98,36.61,5.47,2.16,8.43,0,0.48,0,0.41,0,0
Health Science,Diagnostic Services,Cardiovascular Technologists and Technicians,1,4.62,1.33,5.39,5.51,4.27,0.128969259,0.127644665,0.123449367,0.048987342,-0.103847197,0,9.85,12.85,7.82,62.9,2.77,0,0,0,3.81,0,0
Education & Training,Teaching/Training,"Career/Technical Education Teachers, Middle School",3.64,3.57,2.2,3.41,2.77,7,0.179676848,0.115329792,0.175790173,0.06416556,-0.095626383,0,0,0.56,0,0,64.92,15.7,18.82,0,0,0,0
Education & Training,Teaching/Training,"Career/Technical Education Teachers, Postsecondary",3.14,3.29,2.1,4.15,3.75,6.61,0.175876736,0.113836806,0.164635417,0.060807292,-0.097586806,0,2.17,16.22,6.87,42.29,20.21,0,7.58,0,0,4.67,0
Education & Training,Teaching/Training,"Career/Technical Education Teachers, Secondary School",3.62,3.48,2.71,3.34,2.83,7,0.177993908,0.117228024,0.181510009,0.061331593,-0.097802437,0,0,15.26,0,0.15,73.6,0.15,10.83,0,0,0,0
"Transportation, Distribution & Logistics",Sales and Service,Cargo and Freight Agents,1,6.33,4.82,1.5,3.14,2.14,0.068425779,0.170412044,0.181014263,0.018251453,-0.118837824,1.74,12.2,18.08,19.15,18.08,30.75,0,0,0,0,0,0
Architecture & Construction,Construction,Carpenters,2.19,3.46,1.79,1.9,6.74,1.9,0.125912125,0.113409344,0.120533927,0.02701891,-0.096457175,17.73,52.4,21.46,8.41,0,0,0,0,0,0,0,0
